Hospital_name,Latitude,Longitude
Bệnh viện Tâm thần tỉnh Điện Biên,21.3837456,103.03623
Duck's Hospital,21.0662593,105.7819381
Tram Xa Co Nhue,21.0576234,105.7836205
Prestige international polyclinic,12.2522561,109.1883141
Kyo,10.8375648,106.8153901
Trạm y tế phường Tây Mỗ (Cơ sở 2),21.0018973,105.7512096
Bệnh viện Mắt Kỹ thuật cao Hà Nội,21.0168006,105.849466
Bệnh viện Mắt Việt Nhật,21.0145775,105.8502987
Trạm Y tế phường Hàng Mã,21.039512,105.8472708
Bệnh viện Hữu nghị Quốc tế Hà Nội,21.0040429,105.7496348
Bệnh viện đa khoa Nông nghiệp 2,21.0135889,105.8209988
Bệnh viện Đa khoa Hoè Nhai - Cơ sở 2,21.0471714,105.8458691
Phòng Khám Dr Vein,10.7278961,106.7080164
Trạm y tế Phường Vạn Phúc,20.9789324,105.7751087
Bệnh Viện Đa Khoa Huyện Thạnh Phú,9.9514598,106.5153094
Nha Khoa SingDent,10.7404252,106.6998107
Chưa có tên,21.1601464,106.126063
Wedo Skin Clinic Quan 1,10.7888402,106.6974043
Wedo Skin Clinic,10.7982784,106.7384179
BlueSAO VIỆT NAM,10.9585849,106.8010104
Chưa có tên,17.2162359,106.4513607
Phòng khám Đa Khoa Quốc Tế Việt Sing - Bắc Ninh,21.1733222,106.0546691
Viện thấm mỹ Bác sĩ Minh,10.7575935,106.6782304
Chưa có tên,21.3205185,103.9167157
Phòng khám Đắc Tín,11.0692339,106.6589666
Bệnh viện mắt Sài Gòn Hà Nội 1,21.0115478,105.8104566
Bệnh viện phục hồi chức năng,20.9994521,105.8048434
Som trach,17.6257685,106.3003224
Trung tâm tiêm chủng VNVC Quế Võ,21.1548705,106.1403373
Trung tâm Y tế huyện Cầu Kè,9.8689503,106.0540582
Chưa có tên,21.1830187,106.0726404
Bệnh viện Dệt May,20.9965075,105.8651351
Bệnh viện Đại Học Nam Cần Thơ,10.0011519,105.7686427
Trạm y tế phường Tây Mỗ (Cơ sở 1),20.9954672,105.7560256
Phòng khám bác sĩ Hồ Cao Vũ,10.7278806,106.708011
Phòng khám đa khoa Bệnh viện Đại học Y Hà Nội - Cơ sở Cầu Giấy,21.0350951,105.7910343
Bệnh Viện Thẩm Mỹ Siam Thailand,10.7605922,106.6855655
Bệnh viện Đa khoa Hà Thành,21.026761,105.8265759
Bệnh Viện Đa Khoa Quốc tế Phúc Lâm,20.9429462,105.9478414
Chưa có tên,10.7105722,105.1185369
bệnh viên,17.302455,106.6619309
Yoga trị liệu l Ci Yoga Therapy CN Celadon,10.8054227,106.6151358
Bệnh Viện Mắt Sài Gòn Cần Thơ,10.0095878,105.7520198
Phòng khám đa khoa Tâm Anh Cầu Giấy,21.0345866,105.7945866
Phòng tiêm chủng Vắc-xin POTEC 89.3 Khoái Châu,20.8381767,105.9790303
Chưa có tên,20.8468305,105.8490537
Trạm y tế xã Quang Minh - Điểm y tế Giai Lạc,21.2063908,105.7676576
Chưa có tên,21.3964541,106.1258593
Lam Thao pharmacy store,10.9429199,106.8646578
Viện Dưỡng Lão Tuyết Thái,21.1222383,105.756898
Bệnh Viện Thuận An,10.9090145,106.7019094
Nam tân Uyên,11.0444737,106.7312059
Phòng khám Medisen Thư An,10.7366377,106.7130832
Bệnh Viện Phục Hồi Chức Năng,20.700471,106.7878758
Nha Khoa Thiện Tâm An,20.9642885,105.8260417
Chưa có tên,22.3750897,105.6006213
Bệnh viện Quân y C17,16.0542165,108.2073008
Bệnh viện Đa khoa Trung ương Cần Thơ,10.0294593,105.7557932
Bệnh viện Quân y 175,10.8184252,106.6808112
Bệnh viện Nhân dân Gia Định,10.8039083,106.6941137
Bệnh Viện Quốc Tế Columbia Asia,10.8032232,106.6945681
Bệnh viện Bệnh Nhiệt đới Trung ương,21.0021332,105.8388831
Bệnh viện Nội tiết Trung ương,21.0123966,105.8150138
Bệnh viện Thể thao Việt Nam,21.0231218,105.7614767
Bệnh viện Pháp Việt,10.7323638,106.7179388
Bệnh viện Tim Tâm Đức,10.7334899,106.7177983
Bệnh viện Quân y 354,21.0400936,105.8120457
Bệnh viện Đa khoa huyện Kim Sơn,20.0940592,106.0816318
Trung tâm Y tế huyện Nam Trực,20.3396196,106.2137183
Bệnh viện Đa khoa Đống Đa,21.0155559,105.8267948
Bệnh viện Phổi Trung ương,21.0423434,105.8134109
Trung tâm Y tế huyện Châu Phú,10.5972909,105.221937
Bệnh viện Tai-Mũi-Họng Thành phố Cần Thơ,10.0348915,105.7756919
Bệnh viện Y học cổ truyền thành phố Cần Thơ,10.0127399,105.7584454
Bệnh viện Da liễu thành phố Cần Thơ,10.0133779,105.7551037
Bệnh viện Phụ sản thành phố Cần Thơ,10.050819,105.7767315
hospital_HoanMyCuuLong stories 4,10.0057439,105.7992785
Bệnh viện Quân y 121,10.0292078,105.7823795
Bệnh viện quân Y,10.3983066,105.4227934
Bệnh viện Đa khoa Sa Đéc,10.2881037,105.770839
Trung tâm Y tế khu vực Thốt Nốt,10.2656169,105.5406431
Trung tâm Y tế huyện Châu Thành,10.4401324,105.3934075
Bệnh viện Đa khoa Đồng Tháp,10.471615,105.6275867
Bệnh viện Quân dân y Đồng Tháp,10.4670558,105.6357284
Bệnh viện Phục hồi chức năng Đồng Tháp,10.4674715,105.6365734
Bệnh viện Nhật Tân,10.70355,105.1259434
Trung tâm Y tế huyện An Phú,10.8160003,105.0867467
Bệnh viện Đa khoa khu vực Hồng Ngự,10.8036865,105.3515292
Bệnh viện Domedic,10.4756529,105.6122967
Bệnh viện Phổi tỉnh Đắk Lắk,12.6788979,108.0053661
Bệnh viện Tâm thần tỉnh Đắk Lắk,12.6795757,108.0053949
Bệnh viện Nhi đồng 2,10.7814535,106.7028174
Bệnh viện Nhân dân Gia Định - cơ sở 2,10.7720169,106.6994936
Bệnh viện Đa khoa Khánh Hội,10.7652457,106.7021855
Bệnh viện Hùng Vương,10.7562251,106.6616571
Bệnh viện 30 Tháng 4,10.7590776,106.6730558
Bệnh viện An Bình,10.7541327,106.6722008
Bệnh viện Truyền máu Huyết học,10.7565034,106.6658762
Bệnh viện Bệnh Nhiệt đới,10.7531975,106.6783574
Bệnh viện Phạm Ngọc Thạch,10.7572199,106.6650519
Bệnh viện Đại học Y Dược Thành phố Hồ Chí Minh,10.7552707,106.6645719
Bệnh viện Nguyễn Trãi,10.7568408,106.6750363
Viện Pasteur Thành phố Hồ Chí Minh,10.786266,106.688855
Phòng Khám Y Tế Nha Khoa Quốc Tế SOS,21.0637284,105.8274354
Bệnh viện Thống Nhất,10.7910792,106.6535424
Bệnh viện Phụ sản Hà Nội,21.0268213,105.8074644
Bệnh viện Nhi Trung ương,21.0249118,105.8083673
Bệnh viện Đa khoa Vĩnh Long,10.2318033,105.9889527
Bệnh viện Đa khoa Xanh Pôn,21.0312292,105.8351549
Bệnh viện Bạch Mai,21.0018102,105.8394004
Bệnh viện Trung ương Quân đội 108,21.0163854,105.8606157
Trung tâm y tế Vietsovpetro,10.3602708,107.0838967
Trung tâm Y tế Kiên Lương,10.2518065,104.5979035
Bệnh viện Quốc tế Hạnh Phúc,10.8678097,106.7142927
Bệnh viện Đa khoa số 10,9.9687387,105.7383973
Bệnh viện Mắt Thành phố Hồ Chí Minh,10.7787242,106.6849361
Trung tâm Y tế khu vực Ô Môn,10.1141718,105.6229931
Bệnh viện Đa khoa Bạc Liêu,9.2833612,105.7196048
Bệnh viện Đa khoa Thiện Hạnh,12.6986678,108.0708632
Bệnh viện Đa khoa Nguyễn Thị Thập,10.737275,106.7240834
Trung tâm Y tế huyện Tây Sơn,13.9094625,108.9235637
Bệnh viện Phong - Da liễu Trung ương Quy Hòa,13.7220746,109.2150005
Trạm xá,13.0968492,109.314674
Bệnh viện Y học cổ truyền Phú Yên,13.1048135,109.3118486
Bệnh viện Mắt Phú Yên,13.0922983,109.3025702
Trung tâm Y tế Phù Cát,14.0071648,109.0606154
Trung tâm Y tế An Nhơn,13.9007623,109.1079376
Bệnh viện Đa khoa khu vực Bồng Sơn,14.4345318,109.018433
Bệnh viện Đa khoa tỉnh Ninh Bình,20.2442377,105.9654762
Bệnh viện Quân y 5,20.2512317,105.9689796
Bệnh viện Y học cổ truyền Bảo Lộc,11.5448334,107.8238324
Bệnh viện Trưng Vương,10.7708709,106.6595573
TT Y tế dự phòng Đăk Lăk,12.6677459,108.0393416
Viện Y học biển Việt Nam,20.8306611,106.6853344
Bệnh viện Hữu nghị Việt Tiệp,20.8527135,106.671534
Bệnh viện Đa khoa Quốc tế Hải Phòng,20.8533437,106.6727035
BV Thượng Lý,20.8593941,106.6660764
Bệnh viện Đại học Y Hải Phòng,20.837165,106.6961712
Viện quân y 7,20.865017,106.6801313
BV đa khoa Hải An,20.8249116,106.7094167
Bệnh Viện Văn Cao,20.8345398,106.7019663
Bệnh viện Đa khoa Ngô Quyền,20.8600741,106.695115
Bệnh viện đa khoa Lê Chân II,20.8487056,106.6640771
Trung tâm Y tế dự phòng Huyện Tây Sơn,13.9122145,108.9141601
Bênh viện Phụ sản Hải Phòng,20.8596078,106.6830217
Bệnh viện Đa khoa Buôn Ma Thuột,12.6934282,108.0476654
Viên Y học Hải quân,20.8225799,106.6990971
Bệnh viện Tâm thần Hải Phòng,20.8501459,106.7011021
Bệnh viện Tâm thần Hải Phòng (khu 2),20.8505849,106.7003635
Bệnh viện Y học cổ truyền tỉnh Đắk Lắk,12.695862,108.0667551
TRạm y tế Kiều Hạ,20.8509134,106.730955
Bệnh viện Nhi đồng 1,10.7688069,106.6699394
Trung tâm Y tế Văn Giang,20.9510699,105.9441322
Bệnh Viện Công An TPHP,20.8418801,106.70254
Bệnh viện Sông Hồng,20.9832401,105.9231751
Bệnh viện Da liễu,10.7767949,106.6868606
Bệnh viện Đa khoa Bà Rịa,10.5094268,107.1969894
Trung tâm Y tế Phường Kim Dinh,10.5056194,107.1306361
Bệnh viện Quân Dân Y,10.5080898,107.1941958
Trung tâm Y tế huyện Nhơn Trạch,10.7268301,106.8844457
Bệnh viện Phổi Phạm Hữu Chí,10.4829757,107.2418046
Phòng khám Đa khoa thuộc Trạm Y tế phường Tam Thắng,10.3674986,107.0770862
Trung tâm Y tế khu vực Phan Thiết,10.9335495,108.0957972
Bệnh viện Đa khoa Bình Thuận,10.9401633,108.089251
Bệnh viện Vạn Hạnh,10.7718189,106.6713752
Bệnh viện Đa khoa Tân Định,10.7902069,106.6896592
Bệnh viện Từ Dũ,10.7688942,106.6860103
Bệnh viện Y học cổ truyền Bình Dương,10.980771,106.6577829
Bệnh viện Đa khoa Tiền Giang,10.3551757,106.3650387
Bệnh viện Phụ sản Tiền Giang,10.3568212,106.3647127
Bệnh viện Y học cổ truyền Tiền Giang,10.3565242,106.3655355
BV Anh Đức,10.3557023,106.3660553
Trung tâm Y tế khu vực Phú Mỹ,10.5963299,107.0593865
Trạm y tế Xã Tiền Phong,21.1539788,105.7603327
Bệnh viện 74 Trung ương,21.2213449,105.7095199
Bệnh viện 1A,10.7889136,106.6537197
Bệnh viện Đa khoa Tp Trà Vinh,9.9264345,106.341919
Trung tâm Y tế khu vực Dĩ An,10.9101691,106.7816616
Trung tâm Điều dưỡng Người bệnh Tâm Thần Thủ Đức,10.8671055,106.7463839
Chưa có tên,10.8000398,106.6841553
Trung tâm Y tế Tuy Phước,13.8203096,109.1511356
Trạm y tế Phước Bình,10.8158227,106.7731278
Trung tâm Y tế khu vực Thuận An,10.9084931,106.7025838
Bệnh viện Y học cổ truyền Bình Phước,11.5358471,106.9102616
Bệnh viện Đa khoa vùng Tây Nguyên,12.6641098,108.0556856
Trung tâm Y tế khu vực Đông Hà,16.8106107,107.109335
Bệnh viện Bình Dân,10.7741311,106.6813679
Trung tâm Y tế huyện Trảng Bom,10.9482414,107.0058996
Bệnh viện Đa khoa khu vực Thủ Đức,10.8622334,106.7805429
Bệnh viện Đa khoa khu vực La Gi,10.6841856,107.752708
Bệnh viện Đa khoa khu vực Bắc Bình Thuận,11.2236406,108.5022372
Chưa có tên,11.1786931,108.564524
Trung tâm Y tế khu vực Phú Giáo,11.2892008,106.7973809
Trung Tâm Y Tế Khu Vực Đức Huệ,10.8900382,106.3056977
BV Đa khoa Thạnh Hóa,10.6555528,106.1899956
Bệnh viện Phụ sản - Nhi Đà Nẵng,16.0226987,108.2493906
Viện Y Dược học Dân tộc,10.797087,106.6712263
Bệnh viện Quân y 120,10.355113,106.3382192
Trung tâm Y tế khu vực Hồ Tràm,10.5384993,107.4129397
Trung tâm Y tế Thành Sen,18.3461901,105.9126763
Bệnh viện Đa khoa tỉnh Hà Tĩnh,18.3446504,105.8952721
Bệnh viện Sản - Nhi An Giang,10.3869457,105.4386071
Bệnh viện Y học cổ truyền Hà Tĩnh,18.3553759,105.8851231
Bệnh viện Đa khoa Vĩnh Phúc,21.3186435,105.5999464
Bệnh viện Phổi Hải Dương,20.9350963,106.302858
Bệnh viện Đa khoa Hải Dương,20.9347582,106.3080957
Bệnh viện Đa khoa khu vực Tiên Yên,21.3328759,107.4020488
Bệnh viện Đa khoa khu vực Cẩm Phả,21.0060901,107.3485238
Trung tâm Y tế Kiến Thụy,20.7553967,106.6655358
Trạm Y tế xã Thạnh Mỹ,10.2475912,105.4131048
Bệnh viện Đa khoa huyện Vĩnh Thạnh,10.236223,105.4024591
Bệnh viện Phổi Đà Nẵng,16.0480325,108.1705537
Bệnh viện Đà Nẵng,16.0729442,108.2154554
Bệnh viện C Đà Nẵng,16.0731525,108.2168358
Bệnh viện Chỉnh hình & Phục hồi Chức năng Đà Nẵng,16.0736863,108.2174517
Bệnh viện Đa khoa Tân Bình,10.7944261,106.6554163
Bệnh viện Đa khoa Tâm Trí Cao Lãnh,10.4653086,105.6289386
Bệnh viện Y học cổ truyền Đồng Tháp,10.4645275,105.6294433
Viện Tim Thành phố Hồ Chí Minh,10.7732058,106.666965
Bệnh viện Đa khoa Tân Phú,10.7835098,106.6419173
Bệnh viện Đa khoa Gia Lâm,21.0093543,105.9439877
Trạm Y tế phường Hải Thành,20.7727467,106.7330316
Bệnh viện An Sinh,10.7913163,106.6785309
Bệnh viện Đa khoa Bình Phú,10.7465336,106.6345704
Bệnh viện Ngọc Phú,10.7394843,106.6691079
Bệnh viện Đa khoa Chánh Hưng,10.7416982,106.6764696
Trung tâm Y tế Dự phòng Quận 8,10.7480741,106.6633623
Chưa có tên,15.1209491,108.7723309
Trạm y tế phường 9 quận 8,10.745995,106.6701652
Bệnh viện Trung ương Huế,16.4621953,107.5871045
Bệnh viện Đại học Y Hà Nội,21.0021305,105.8303797
Trung tâm Y tế huyện Đắk R'lấp,11.9970657,107.5040051
Bệnh viện Chấn thương Chỉnh hình,10.7541795,106.6779595
Bệnh viện Đa khoa Lãnh Binh Thăng,10.7606826,106.6479151
Bệnh viện Đa khoa Bình Tân,10.7644533,106.6032245
Bệnh viện Triều An,10.7391983,106.6171202
Bệnh viện Quận 10,10.7760365,106.6664866
